term	en_term	cat
تقنين	rationing	SHORTAGE
انقطاع التيار	outages	SHORTAGE
انقطاع التيار الكهربائى	blackouts	SHORTAGE
انخفاضها	brownouts	SHORTAGE
إنقطاع كهربائي	power blackout	ELECTRICITY OUTAGE
إنقطاع الطاقة	power failure	ELECTRICITY OUTAGE
أنقطاع الكهرباء	power outage	ELECTRICITY OUTAGE
خرج السلطة	knocked out power	ELECTRICITY OUTAGE
انقطاع الكهرباء	power disruption	ELECTRICITY OUTAGE
انقطاع الكهرباء	disruption of power	ELECTRICITY OUTAGE
بدون قوة	without power	ELECTRICITY OUTAGE
لاستعادة السلطة	to restore power	ELECTRICITY OUTAGE
لاستعادة الكهرباء	to restore electricity	ELECTRICITY OUTAGE
خط كهرباء اسقطت	downed power line	ELECTRICITY OUTAGE
من دون كهرباء	without electricity	ELECTRICITY OUTAGE
يتم استعادة السلطة متعود	power wont be restored	ELECTRICITY OUTAGE
أسعار المواد الغذائية	price of food	FOOD SECURITY
أسعار المواد الغذائية	cost of food	FOOD SECURITY
أمن غذائي	food security	FOOD SECURITY
نقص الغذاء	food shortage	FOOD SECURITY
جوع	starvation	FOOD SECURITY
الحصول على الأغذية	food access	FOOD SECURITY
مجاعة	famine	FOOD SECURITY
الغذاء وصول	access food	FOOD SECURITY
مساعدة غذائية	food aid	FOOD SECURITY
مجاعة	famine	FOOD SECURITY
نقص في الطعام	lack of food	FOOD SECURITY
أزمة الغذاء	food crisis	FOOD SECURITY
طوارئ غذائية	food emergency	FOOD SECURITY
فشل المحاصيل	crop failure	FOOD SECURITY
فشل المحاصيل	crop fail	FOOD SECURITY
فشل المحصول	failure of the crop	FOOD SECURITY
فشل المحاصيل	failure of crop	FOOD SECURITY
malnourish	malnourish	FOOD SECURITY
سوء التغذية	malnourishment	FOOD SECURITY
يعانون من سوء التغذية	malnourished	FOOD SECURITY
سوء التغذية	malnutrition	FOOD SECURITY
جفاف	drought	WATER SECURITY
نقص في المياه	water shortage	WATER SECURITY
يشرب الماء	drinking water	WATER SECURITY
الحصول على المياه	water access	WATER SECURITY
الأمن المائي	water security	WATER SECURITY
نقص في المياه	water shortage	WATER SECURITY
ندرة المياه	water scarcity	WATER SECURITY
نقص المياه	shortage of water	WATER SECURITY
أزمة المياه	water crisis	WATER SECURITY
إمدادات المياه	water supply	WATER SECURITY
طوارئ المياه	water emergency	WATER SECURITY
مستوى المياه	water level	WATER SECURITY
التصحر	desertification	WATER SECURITY
شح الأمطار	poor rainfall	WATER SECURITY
قلة الأمطار	lack of rainfall	WATER SECURITY
قلة الأمطار	lack of rain	WATER SECURITY
لا مطر	no rain	WATER SECURITY
مياه صالحة للشرب	potable water	WATER SECURITY
الزراعة	agriculture	AGRICULTURE
زراعي	agricultural	AGRICULTURE
تربية الحيوان	animal husbandry	AGRICULTURE
مزرعة	farm	AGRICULTURE
مزرعة	farm	AGRICULTURE
مزارع	farmer	AGRICULTURE
صاحب المزرعه	rancher	AGRICULTURE
راعي	herder	AGRICULTURE
الرعاة	pastoralist	AGRICULTURE
ماشية	livestock	AGRICULTURE
ماشية	cattle	AGRICULTURE
ا & قتصاص	crop	AGRICULTURE
حصاد	harvest	AGRICULTURE
حصاد	harvest	AGRICULTURE
مبيدات الأعشاب	herbicide	AGRICULTURE
المبيدات الحشرية	pesticide	AGRICULTURE
الانتشار النووي	nuclear proliferation	ID PROLIFERATION
انتشار السلاح	weapon proliferation	ID PROLIFERATION
عدم الانتشار	non proliferation	ID PROLIFERATION
منع الانتشار النووي	nonproliferation	ID PROLIFERATION
انتشار الأسلحة	arms proliferation	ID PROLIFERATION
انتشار الصواريخ	missile proliferation	ID PROLIFERATION
انتشار تكنولوجيا الصواريخ	missile technology proliferation	ID PROLIFERATION
الألغام الأرضية	landmine	LANDMINE
لغم أرضي	land mine	LANDMINE
لغم أرضي	land mine	LANDMINE
الألغام المضادة للأفراد	antipersonnel mine	LANDMINE
لغم مضاد أفراد	anti personnel mine	LANDMINE
لغم مضاد للدبابات	anti tank mine	LANDMINE
قنبلة مزروعة على الطريق	roadside bomb	IED
قنبلة مزروعة على الطريق	roadside bomb	IED
قنبلة محلية الصنع	homemade bomb	IED
انفجار سيارة	carbomb	IED
سيارات مفخخة	carbombs	IED
carbombing	carbombing	IED
انفجار سيارة	car bomb	IED
انفجار سيارة	car bomb	IED
شاحنة مفخخة	truck bomb	IED
شاحنة مفخخة	truck bomb	IED
قنبلة أنبوبية	pipe bomb	IED
قنبلة أنبوبية	pipe bomb	IED
قنبلة الأظافر	nail bomb	IED
قنبلة الأظافر	nail bomb	IED
مسمار قصف	nail bombed	IED
تفجير مسمار	nail bombing	IED
العبوات الناسفة	ied	IED
العبوات الناسفة	ieds	IED
عبوة ناسفة	improvised explosive device	IED
بناء جديدة	build new	NEW CONSTRUCTION
الطريق الجديد	new roadway	NEW CONSTRUCTION
طريق سريع جديد	new highway	NEW CONSTRUCTION
جسر جديد	new overpass	NEW CONSTRUCTION
جسر جديد	new bridge	NEW CONSTRUCTION
قفص الاتهام الجديد	new dock	NEW CONSTRUCTION
مساكن جديدة	new housing	NEW CONSTRUCTION
منزل جديد	new house	NEW CONSTRUCTION
بناء جديدة	construct new	NEW CONSTRUCTION
كسر الأرض	break ground	NEW CONSTRUCTION
بناء جديدة	construct new	NEW CONSTRUCTION
بناء جديد	new construction	NEW CONSTRUCTION
البدء في بناء	begin construction	NEW CONSTRUCTION
مشروع بناء	construction project	NEW CONSTRUCTION
طاقم البناء	construction crew	NEW CONSTRUCTION
طفرة البناء	construction boom	NEW CONSTRUCTION
بناء الازدهار	boom construction	NEW CONSTRUCTION
أزيز	drone	DRONE
الطائرات بدون طيار	uav	DRONE
الطائرات بدون طيار	uavs	DRONE
من دون طيار جوي	unmanned aerial	DRONE
الروبوت تحلق	flying robot	DRONE
روبوت عسكري	military robot	DRONE
الروبوتات المحلقة	flying robots	DRONE
الروبوتات العسكرية	military robots	DRONE
مركبة جوية بدون طيار	unmanned combat air vehicle	DRONE
ضربة جوية	airstrike	AIRSTRIKE
غارة جوية	air raid	AIRSTRIKE
ضربة جوية	air strike	AIRSTRIKE
ضربة جراحية	surgical strike	AIRSTRIKE
تفجير المدى	bombing run	AIRSTRIKE
القصف الجوي	aerial bombardment	AIRSTRIKE
مهمة قصف	bombing mission	AIRSTRIKE
عاقب	strafe	AIRSTRIKE
الحملة الجوية	air campaign	AIRSTRIKE
حملة جوية	aerial campaign	AIRSTRIKE
القصف الجوي	aerial bombing	AIRSTRIKE
حملة القصف	bombing campaign	AIRSTRIKE
الدعم الجوي القريب	close air support	AIRSTRIKE
ديمقراطية	democracy	ID DEMOCRACY
ديمقراطي	democratic	ID DEMOCRACY
الديمقراطية	democratize	ID DEMOCRACY
الديمقراطية	democratise	ID DEMOCRACY
المهاجر	immigrant	ID IMMIGRATION
هجرة	immigration	ID IMMIGRATION
حي الفقراء	slum	SLUMS
فافيلا	favela	SLUMS
العشوائية	informal settlement	SLUMS
سكان الأحياء الفقيرة	slum dweller	SLUMS
كوخ بمدني	shack dweller	SLUMS
حي فقير	shantytown	SLUMS
مدينة الصفيح	shanty town	SLUMS
ناشط	activist	ACTIVISM
النشاط	activism	ACTIVISM
العنف ضد المرأة	violence against women	GENDER VIOLENCE
العنف ضد المرأة	gender violence	GENDER VIOLENCE
العنف المنزلي	domestic violence	GENDER VIOLENCE
جريمة كراهية المرأة	woman hate crime	GENDER VIOLENCE
ضرب زوجته	beat his wife	GENDER VIOLENCE
امرأة يتعرضن للضرب	battered woman	GENDER VIOLENCE
العنف الجنسي	sexual violence	GENDER VIOLENCE
عنف الشريك الحميم	intimate partner violence	GENDER VIOLENCE
جرائم الشرف	honor killing	GENDER VIOLENCE
استغلال الجنسي	sexual exploit	GENDER VIOLENCE
استغلال الجنسي	sexually exploit	GENDER VIOLENCE
جريمة جنسية	sex crime	GENDER VIOLENCE
جريمة جنسية	sexual crime	GENDER VIOLENCE
الجنس الرقيق	sex slave	GENDER VIOLENCE
العبودية الجنسية	sex slavery	GENDER VIOLENCE
الرقيق الجنسي	sexual slave	GENDER VIOLENCE
الاسترقاق الجنسي	sexual slavery	GENDER VIOLENCE
الاعتداء الجنسي	sex abuse	GENDER VIOLENCE
المعتدي الجنس	sex abuser	GENDER VIOLENCE
العنف الجنسي	sexual abuse	GENDER VIOLENCE
المعتدي الجنسي	sexual abuser	GENDER VIOLENCE
يتعاطون الجنسي	sexual abusing	GENDER VIOLENCE
اعتداء الجنسي	sexually abused	GENDER VIOLENCE
سوء السلوك الجنسي	sexual misconduct	GENDER VIOLENCE
العنف الجنسي	sexual violence	GENDER VIOLENCE
العنف القائم على نوع الجنس	gender based violence	GENDER VIOLENCE
اغتصاب	rape	RAPE
مغتصب	rapist	RAPE
اغتصاب	rape	RAPE
مثلي الجنس	gay	LGBT
مثليون جنسيا	gays	LGBT
مثليه	lesbian	LGBT
مثليات	lesbians	LGBT
ثنائي الجنس	bisexual	LGBT
ثنائيي الجنس	bisexuals	LGBT
المتحولين جنسيا	transgender	LGBT
transexual	transexual	LGBT
الرجل العابر	trans man	LGBT
امرأة متحولة	trans woman	LGBT
الرجال العابر	trans men	LGBT
المرأة المتحولة	trans women	LGBT
الأقليات الجنسية	sexual minority	LGBT
المثليين	lgbt	LGBT
lgbts	lgbts	LGBT
غلبت	glbt	LGBT
المثلي	lgbtq	LGBT
lgbtqi	lgbtqi	LGBT
فخر موكب	pride parade	LGBT
فخر مسيرة	pride march	LGBT
الميول الجنسية	sexual orientation	LGBT
مثلي الجنس فخر	gay pride	LGBT
مثلي الجنس	homosexual	LGBT
المثلية	homosexuality	LGBT
الجنسية المثلية	homophobia	LGBT
الخوف من المثليين	homophobic	LGBT
homophobe	homophobe	LGBT
رهاب إزدواجية الميل	biphobia	LGBT
biphobic	biphobic	LGBT
transphobia	transphobia	LGBT
transphobic	transphobic	LGBT
الهوية الجنسية	gender identity	LGBT
lgbqt	lgbqt	LGBT
نفس زوجين ممارسة الجنس	same sex couple	LGBT
الزواج من نفس الجنس	same sex marriage	LGBT
عليل	queer	LGBT
genderqueer	genderqueer	LGBT
المساواة في الزواج	marriage equality	LGBT
حق من حقوق الإنسان	human right	HUMAN RIGHTS
الحق المدني	civil right	HUMAN RIGHTS
الحقوق الدينية	religious rights	HUMAN RIGHTS
حقوق المرأة	womens rights	HUMAN RIGHTS
الحقوق الفردية	individual rights	HUMAN RIGHTS
الحرية الدينية	religious freedom	HUMAN RIGHTS
حرية الدين	freedom of religion	HUMAN RIGHTS
حرية سياسية	political freedom	HUMAN RIGHTS
حرية التعبير	free speech	HUMAN RIGHTS
حرية التعبير	freedom of speech	HUMAN RIGHTS
التسامح الديني	religious tolerance	HUMAN RIGHTS
التسامح العرقي	racial tolerance	HUMAN RIGHTS
المساواة بين الجنسين	sexual equality	HUMAN RIGHTS
المساواة الدينية	religious equality	HUMAN RIGHTS
المساواة الاجتماعية	social equality	HUMAN RIGHTS
تعذيب	torture	ID TORTURE
تعذيب	torturing	ID TORTURE
تعذيب	tortured	ID TORTURE
عنصرية	racism	DISCRIMINATION
عنصري	racist	DISCRIMINATION
تمييزي	discriminatory	DISCRIMINATION
تمييز	discrimination	DISCRIMINATION
تميز ضد	discriminate against	DISCRIMINATION
مكافحة مثلي الجنس	anti gay	DISCRIMINATION
antigay	antigay	DISCRIMINATION
مكافحة مثلي الجنس	anti gay	DISCRIMINATION
تعنيف المثليين	gay bashing	DISCRIMINATION
تعنيف المثليين	gaybashing	DISCRIMINATION
الخوف من المثليين	homophobic	DISCRIMINATION
الجنسية المثلية	homophobia	DISCRIMINATION
افتراء	slur	DISCRIMINATION
رهاب الأجانب	xenophobia	DISCRIMINATION
أجانب	xenophobic	DISCRIMINATION
متعصب	bigot	DISCRIMINATION
تعصب أعمى	bigotry	DISCRIMINATION
رهاب الأجانب	xenophobia	DISCRIMINATION
أجانب	xenophobic	DISCRIMINATION
xenophobe	xenophobe	DISCRIMINATION
الاتجار بالبشر	human trafficking	HUMAN TRAFFICKING
مهرب البشر	human trafficker	HUMAN TRAFFICKING
الاتجار بالجنس	sex trafficking	HUMAN TRAFFICKING
مهرب الجنس	sex trafficker	HUMAN TRAFFICKING
سخرة	forced labor	HUMAN TRAFFICKING
تهريب البشر	human smuggling	HUMAN TRAFFICKING
مهرب البشر	human smuggler	HUMAN TRAFFICKING
مهربي البشر	human smugglers	HUMAN TRAFFICKING
عقوبة	sanction	SANCTIONS
حظر	embargo	SANCTIONS
حظر	embargo	SANCTIONS
سلاح الدمار الشامل	weapon of mass destruction	WMD
أسلحة الدمار الشامل	wmd	WMD
أسلحة الدمار الشامل	wmds	WMD
ICBM	icbm	NUCLEAR WEAPONS
قارات	icbms	NUCLEAR WEAPONS
صاروخ عابر للقارات	intercontinental ballistic missile	NUCLEAR WEAPONS
عدة السيارة العائدة المستهدفة بشكل مستقل	multiple independently targeted reentry vehicle	NUCLEAR WEAPONS
المسلحة النووي	nuclear armed	NUCLEAR WEAPONS
قنبلة نووية	nuclear bomb	NUCLEAR WEAPONS
صواريخ كروز النووية	nuclear cruise missile	NUCLEAR WEAPONS
صاروخ نووي	nuclear missile	NUCLEAR WEAPONS
الرؤوس النووية	nuclear tipped	NUCLEAR WEAPONS
المظلة النووية	nuclear umbrella	NUCLEAR WEAPONS
حرب نووية	nuclear war	NUCLEAR WEAPONS
الحرب النووية	nuclear warfare	NUCLEAR WEAPONS
السلاح النووي	nuclear weapon	NUCLEAR WEAPONS
الذراع النووي	nuclear arm	NUCLEAR WEAPONS
قنبلة هيدروجينية	thermonuclear weapon	NUCLEAR WEAPONS
قنبلة نووية حرارية	thermonuclear bomb	NUCLEAR WEAPONS
صاروخ حراري	thermonuclear missile	NUCLEAR WEAPONS
اليورانيوم صناعة الأسلحة	weapons grade uranium	NUCLEAR WEAPONS
البلوتونيوم	weapons grade plutonium	NUCLEAR WEAPONS
قنبلة قذرة	dirty bomb	RADIOLOGICAL WEAPONS
قنبلة إشعاعية	radiological bomb	RADIOLOGICAL WEAPONS
جهاز إشعاعي	radiological device	RADIOLOGICAL WEAPONS
هجوم الجمرة الخبيثة	anthrax attack	BIOLOGICAL WEAPONS
الحرب البيولوجية	biological war	BIOLOGICAL WEAPONS
الحرب البيولوجية	biological warfare	BIOLOGICAL WEAPONS
سلاح بيولوجي	biological weapon	BIOLOGICAL WEAPONS
الجدري المحول إلى سلاح	weaponized smallpox	BIOLOGICAL WEAPONS
تسلحي الايبولا	weaponized ebola	BIOLOGICAL WEAPONS
الأسلحة الجرثومية	bacteriological weapons	BIOLOGICAL WEAPONS
سلاح البكتريولوجي	bacteriological weapon	BIOLOGICAL WEAPONS
هجوم بيولوجي	biological attack	BIOLOGICAL WEAPONS
الإرهاب البيولوجي	bioterrorism	BIOLOGICAL WEAPONS
إرهابي بيولوجي	bioterrorist	BIOLOGICAL WEAPONS
bioterrists	bioterrists	BIOLOGICAL WEAPONS
الحيوي سلاح	bio weapon	BIOLOGICAL WEAPONS
الذخائر الكيميائية	chemical munition	CHEMICAL WEAPONS
الرؤوس الحربية الكيميائية	chemical warhead	CHEMICAL WEAPONS
الحرب الكيميائية	chemical war	CHEMICAL WEAPONS
حرب كيمايئية	chemical warfare	CHEMICAL WEAPONS
سلاح كيميائي	chemical weapon	CHEMICAL WEAPONS
استخدام الغازات السامة	use of poison gas	CHEMICAL WEAPONS
هجوم بالغاز	gas attack	CHEMICAL WEAPONS
مخزون المواد الكيميائية	chemical stockpile	CHEMICAL WEAPONS
هجوم كيماوي	chemical attack	CHEMICAL WEAPONS
السارين الرؤوس	sarin warhead	CHEMICAL WEAPONS
غاز السارين	sarin gas	CHEMICAL WEAPONS
غاز الخردل	mustard gas	CHEMICAL WEAPONS
غاز الأعصاب	nerve gas	CHEMICAL WEAPONS
كتلة الانترنت	block website	INTERNET CENSORSHIP
تم حظر الموقع	website is blocked	INTERNET CENSORSHIP
موقع كتلة	block site	INTERNET CENSORSHIP
الانترنت كتلة	block internet	INTERNET CENSORSHIP
الانترنت الرقيب	censor internet	INTERNET CENSORSHIP
الرقابة على الإنترنت	online censorship	INTERNET CENSORSHIP
فرض رقابة على الانترنت	online censoring	INTERNET CENSORSHIP
حرية الإنترنت	internet freedom	INTERNET CENSORSHIP
الرقيب الإنترنت	internet censor	INTERNET CENSORSHIP
الرقيب الإنترنت	internet censor	INTERNET CENSORSHIP
وفرض الرقابة على الإنترنت	internet is censored	INTERNET CENSORSHIP
الرقابة على الإنترنت	internet censorship	INTERNET CENSORSHIP
صافي الرقابة	net censorship	INTERNET CENSORSHIP
الرقابة على الشبكة	censorship of the net	INTERNET CENSORSHIP
الرقابة على الإنترنت	censorship of the internet	INTERNET CENSORSHIP
الرقابة على الإنترنت	censorship of the web	INTERNET CENSORSHIP
حملة على وسائل الاعلام الاجتماعية	crackdown on social media	INTERNET CENSORSHIP
قيود على وسائل الاعلام الاجتماعية	restriction on social media	INTERNET CENSORSHIP
جدار الحماية العظيم	great firewall	INTERNET CENSORSHIP
حملة وسائل الإعلام	media crackdown	MEDIA CENSORSHIP
حرية الصحافة	press freedom	MEDIA CENSORSHIP
حرية الصحافة	freedom of the press	MEDIA CENSORSHIP
صحفي اعتقل	journalist arrested	MEDIA CENSORSHIP
صحفي اعتقال	arrest journalist	MEDIA CENSORSHIP
اعتقال مراسل	reporter arrest	MEDIA CENSORSHIP
مراسل التوقيف	arrest reporter	MEDIA CENSORSHIP
اعتقال صحفي	journalist arrest	MEDIA CENSORSHIP
صحفي اعتقال	arrest journalist	MEDIA CENSORSHIP
اعتقال مراسل	reporter arrest	MEDIA CENSORSHIP
مراسل التوقيف	arrest reporter	MEDIA CENSORSHIP
كتاب المحظورة	banned book	MEDIA CENSORSHIP
حملة وسائل الإعلام	media crackdown	MEDIA CENSORSHIP
حملة على وسائل الإعلام	crackdown on the media	MEDIA CENSORSHIP
حملة على وسائل الاعلام	crackdown on media	MEDIA CENSORSHIP
ترهيب وسائل الإعلام	intimidation of the media	MEDIA CENSORSHIP
تخويف الصحافة	intimidation of the press	MEDIA CENSORSHIP
ترهيب وسائل الإعلام	intimidation of media	MEDIA CENSORSHIP
تخويف الصحافة	intimidation of press	MEDIA CENSORSHIPINTIMIDATION OF THE MEDIA
ترهيب الصحفيين	intimidation of journalists	MEDIA CENSORSHIP
الترهيب من الصحفيين	intimidation of reporters	MEDIA CENSORSHIP
تخويف الصحفي	intimidate journalist	MEDIA CENSORSHIP
تخويف الصحفي	intimidate journalist	MEDIA CENSORSHIP
الصحافة الترهيب	press intimidation	MEDIA CENSORSHIP
القيود المفروضة على الاعلام	media restrictions	MEDIA CENSORSHIP
القيود المفروضة على الصحافة	press restrictions	MEDIA CENSORSHIP
الرقابة على الإعلام	media censorship	MEDIA CENSORSHIP
الرقابة على الصحافة	press censorship	MEDIA CENSORSHIP
السيطرة على وسائل الإعلام	media control	MEDIA CENSORSHIP
السيطرة على الصحافة	press control	MEDIA CENSORSHIP
القيود المفروضة على الصحافة	restrictions on the press	MEDIA CENSORSHIP
السيطرة على وسائل الإعلام	control over the media	MEDIA CENSORSHIP
السيطرة على الصحافة	control over the press	MEDIA CENSORSHIP
الرقابة على وسائل الإعلام التقليدية	censorship of traditional media	MEDIA CENSORSHIP
انقلاب عسكري	military coup	COUP DISCUSSION
محاولة انقلاب	attempted coup	COUP DISCUSSION
مؤامرة انقلاب	coup plot	COUP DISCUSSION
قاعدة شاذة	coup d'etat	COUP DISCUSSION
بتدبير انقلاب	staging a coup	COUP DISCUSSION
مؤامرة انقلاب	coup plot	COUP DISCUSSION
انتخاب	election	ELECTION
ناخب	voter	ELECTION
الناخبين	voters	ELECTION
توجه إلى صناديق الاقتراع	head to the polls	ELECTION
الاقتراع	balloting	ELECTION
انتزاع الفدية	ransomware	MALWARE
حصان طروادة الكمبيوتر	computer trojan	MALWARE
أحصنة طروادة الكمبيوتر	computer trojans	MALWARE
فيروس كمبيوتر	computer virus	MALWARE
دودة الكمبيوتر	computer worm	MALWARE
كلوغر	keylogger	MALWARE
مسجل الرئيسية	key logger	MALWARE
ال keylogging	keylogging	MALWARE
الرئيسية مسجل السكتة الدماغية	key stroke logger	MALWARE
المفتاح المسجل	keystroke logger	MALWARE
راصد لوحة مفاتيح	keystroke logging	MALWARE
تسجيل السكتة الدماغية الرئيسي	key stroke logging	MALWARE
البرمجيات الخبيثة	malware	MALWARE
هجوم اليوم صفر	zero day attack	MALWARE
صفر يوم استغلال	zero day exploit	MALWARE
يوم الصفر	a zero day	MALWARE
الجذور الخفية	rootkit	MALWARE
الجذور الخفية	rootkits	MALWARE
برامج التجسس	spyware	MALWARE
أداة الوصول عن بعد	remote access tool	MALWARE
المرفقات الخبيثة	malicious attachment	MALWARE
وصول بعيد السري	clandestine remote access	MALWARE
الشيفرات الخبيثة	malicious code	MALWARE
آلة الضحية	victim's machine	MALWARE
التهديد المستمر المتقدمة	advanced persistent threat	CYBER SECURITY
bootkit	bootkit	CYBER SECURITY
الروبوتات	botnet	CYBER SECURITY
إقناعا	botnets	CYBER SECURITY
حماية الحاسوب	computer security	CYBER SECURITY
الذراع السيبرانية	cyber arm	CYBER SECURITY
cyberarms	cyberarms	CYBER SECURITY
هجوم الانترنت	cyber attack	CYBER SECURITY
هجوم الانترنت	cyberattack	CYBER SECURITY
هجوم المقهى	cyberattacks	CYBER SECURITY
القيادة السيبرانية	cyber command	CYBER SECURITY
الأوامر الإنترنت	cyber commands	CYBER SECURITY
الجريمة الإلكترونية	cyber crime	CYBER SECURITY
الجريمة الإلكترونية	cybercrime	CYBER SECURITY
مجرم السيبرانية	cyber criminal	CYBER SECURITY
مجرمي الانترنت	cybercriminal	CYBER SECURITY
مجرمو الإنترنت	cybercriminals	CYBER SECURITY
المحتال الإنترنت	cyber crook	CYBER SECURITY
cybercrook	cybercrook	CYBER SECURITY
cybercrooks	cybercrooks	CYBER SECURITY
التجسس السيبراني	cyber espionage	CYBER SECURITY
cyberespionage	cyberespionage	CYBER SECURITY
cyberoperation	cyberoperation	CYBER SECURITY
cyberoperations	cyberoperations	CYBER SECURITY
الأمن السيبراني	cyber security	CYBER SECURITY
الأمن السيبراني	cybersecurity	CYBER SECURITY
الإرهاب السيبراني	cyber terror	CYBER SECURITY
cyberterror	cyberterror	CYBER SECURITY
الإرهاب الإليكتروني	cyber terrorism	CYBER SECURITY
الإرهاب الإليكتروني	cyberterrorism	CYBER SECURITY
أداة الإنترنت	cyber tool	CYBER SECURITY
التهديد الإنترنت	cyber threat	CYBER SECURITY
cyberthreat	cyberthreat	CYBER SECURITY
حرب الكترونية	cyber war	CYBER SECURITY
حرب الكترونية	cyberwar	CYBER SECURITY
الحرب الإلكترونية	cyber warfare	CYBER SECURITY
الحرب الإلكترونية	cyberwarfare	CYBER SECURITY
محارب السيبرانية	cyber warrior	CYBER SECURITY
cyberwarrior	cyberwarrior	CYBER SECURITY
cyberwarriors	cyberwarriors	CYBER SECURITY
سلاح السيبرانية	cyber weapon	CYBER SECURITY
الحرب الإلكترونية	cyberwarfare	CYBER SECURITY
الحرب الإلكترونية	cyber warfare	CYBER SECURITY
cyberweapon	cyberweapon	CYBER SECURITY
الأسلحة السيبرانية	cyber weaponry	CYBER SECURITY
cyberweaponry	cyberweaponry	CYBER SECURITY
cyberweapons	cyberweapons	CYBER SECURITY
سرقة البيانات	data theft	CYBER SECURITY
هجوم دوس	ddos attack	CYBER SECURITY
خرق البيانات	data breach	CYBER SECURITY
خرق البيانات	databreach	CYBER SECURITY
الحرمان من الخدمة	denial of service	CYBER SECURITY
هجوم الرقمي	digital attack	CYBER SECURITY
هجوم دوس	dos attack	CYBER SECURITY
دوس	ddos	CYBER SECURITY
هجوم إلكتروني	electronic attack	CYBER SECURITY
التجسس السيبراني	cyber espionage	CYBER SECURITY
القراصنة	hacker	CYBER SECURITY
القرصنة	hacking	CYBER SECURITY
hacktivist	hacktivist	CYBER SECURITY
hacktivists	hacktivists	CYBER SECURITY
hacktivistm	hacktivistm	CYBER SECURITY
التجسس إيندوستيرال	industiral espionage	CYBER SECURITY
جهاز الكمبيوتر المصاب	infected computer	CYBER SECURITY
كشف التسلل	intrusion detection	CYBER SECURITY
رجل في منتصف	man in the middle	CYBER SECURITY
رجل في منتصف الهجوم	man in the middle attack	CYBER SECURITY
رجل في منتصف الهجوم	man in the middle attack	CYBER SECURITY
تجريف الذاكرة	memory scraping	CYBER SECURITY
رجل في المتصفح	man in the browser	CYBER SECURITY
اختراق الشبكة	network breach	CYBER SECURITY
شبكة الاقتحام	network intrusion	CYBER SECURITY
الرمح التصيد	spear phish	CYBER SECURITY
التصيد	phish	CYBER SECURITY
مخادع	phisher	CYBER SECURITY
التصيد	phishing	CYBER SECURITY
phreaking	phreaking	CYBER SECURITY
أمن استغلال	security exploit	CYBER SECURITY
حقن SQL	sql injection	CYBER SECURITY
حاجز	roadblock	CHECKPOINT
نقطة تفتيش	checkpoint	CHECKPOINT
الأزمة الإنسانية	humanitarian crisis	HUMANITARIAN CRISIS
كارثة إنسانية	humanitarian disaster	HUMANITARIAN CRISIS
حالة طوارئ إنسانية	humanitarian emergency	HUMANITARIAN CRISIS
الإغاثة في حالات الكوارث	disaster relief	HUMANITARIAN CRISIS
الإغاثة الإنسانية	humanitarian relief	HUMANITARIAN CRISIS
الوضع الإنساني	humanitarian situation	HUMANITARIAN CRISIS
فساد	corruption	CORRUPTION
فاسد	corrupt	CORRUPTION
رشوة	kickback	CORRUPTION
مكافحة الفساد	anticorruption	CORRUPTION
مكافحة الفساد	anti corruption	CORRUPTION
تطعيم	graft	CORRUPTION
مكافحة الكسب غير المشروع	anti graft	CORRUPTION
antigraft	antigraft	CORRUPTION
مكافحة الكسب غير المشروع	anti graft	CORRUPTION
رشوة	bribery	CORRUPTION
مكافحة الرشوة	anti bribery	CORRUPTION
antibribery	antibribery	CORRUPTION
رشوة	bribe	CORRUPTION
رشوة	bribe	CORRUPTION
اختلاس	embezzlement	CORRUPTION
اختلس	embezzle	CORRUPTION
صندوق الخالي من الدسم	skim fund	CORRUPTION
اختلس	misappropriate	CORRUPTION
اختلاس	misappropriation	CORRUPTION
المحسوبيات	nepotism	CORRUPTION
تغير المناخ	climate change	CLIMATE CHANGE
الاحتباس الحرارى	global warming	CLIMATE CHANGE
تغير المناخ	change climate	CLIMATE CHANGE
غازات الاحتباس الحراري	greenhouse gas	CLIMATE CHANGE
المناخ الأكثر دفئا	warmer climate	CLIMATE CHANGE
كارثة بيئية	ecological catastrophe	SELF IDENTIFIED ENVIRON DISASTER
كارثة بيئية	ecological disaster	SELF IDENTIFIED ENVIRON DISASTER
كارثة بيئية	environmental catastrophe	SELF IDENTIFIED ENVIRON DISASTER
كارثة بيئية	environmental disaster	SELF IDENTIFIED ENVIRON DISASTER
الكوارث البيئية	ecological catastrophes	SELF IDENTIFIED ENVIRON DISASTER
الكوارث البيئية	ecological disasters	SELF IDENTIFIED ENVIRON DISASTER
الكوارث البيئية	environmental catastrophes	SELF IDENTIFIED ENVIRON DISASTER
الكوارث البيئية	environmental disasters	SELF IDENTIFIED ENVIRON DISASTER
الأمطار الغزيرة	intense rainfall	NATURAL DISASTER
منطقة الفيضانات	flood area	NATURAL DISASTER
الطريق الفيضانات	flood road	NATURAL DISASTER
مطر غزير	heavy rain	NATURAL DISASTER
ارتفاع المياه	high water	NATURAL DISASTER
الامطار الغزيرة	torrential rain	NATURAL DISASTER
الأمطار الموسمية	monsoon rain	NATURAL DISASTER
تأثير الكويكب	asteroid impact	NATURAL DISASTER
انهيار ثلجي	avalanche	NATURAL DISASTER
عاصفة ثلجية	blizzard	NATURAL DISASTER
حريق فرشاة	brush fire	NATURAL DISASTER
السد انفجر	burst dam	NATURAL DISASTER
